rank,k,score,silhouette,davies_bouldin,calinski_harabasz,inertia,min_cluster_size,max_cluster_size,balance,valid_min_size,elapsed_sec
3,2,0.6404410390088164,0.05363341048359871,4.229994940526733,273.97892968748965,10104.9287109375,11113,11215,0.9999849461760201,True,2.527
6,3,0.5456689558258782,0.04791083186864853,4.093220882396882,229.82545947113414,9755.4716796875,5193,8789,0.9776447264120849,True,1.045
2,4,0.7034338857292664,0.05438106134533882,3.728343601137806,226.93620608675425,9381.60546875,2170,7544,0.9418222367393914,True,1.052
1,5,0.703556030239918,0.05642635375261307,3.457140591700751,190.62413950733844,9251.9169921875,739,7726,0.86317844242765,True,1.318
27,6,0.47612776002359636,0.040318023413419724,3.798388232514703,173.3463398398208,9116.466796875,1922,5007,0.9729440038894654,True,1.452
43,7,0.4064125172931393,0.03727314621210098,3.7787350024908526,157.16633971523478,8979.9599609375,1216,4628,0.9485376917084826,True,1.39
4,8,0.5942796591113938,0.04683135077357292,3.601735899469303,150.66211199537597,8821.2080078125,703,4237,0.9599547181962502,True,1.49
26,9,0.4782777231440066,0.04179902374744415,3.7666113423788525,136.5648044861596,8783.4462890625,1342,4445,0.9678881779339948,True,1.566
24,10,0.48020413362537057,0.03985400125384331,3.649935719907475,130.45563098789515,8673.5625,1013,3498,0.9711592360148519,True,1.921
28,11,0.474476287394009,0.04100736603140831,3.685579029195804,121.29723236741414,8611.111328125,759,3286,0.9629906018645581,True,1.973
21,12,0.49653336638785445,0.03744331747293472,3.4236420609594465,117.2404269775947,8503.3896484375,973,3033,0.972425337126857,True,1.915
36,13,0.44997719556720045,0.04063048213720322,3.7548733391643143,111.84021275061438,8438.439453125,687,3119,0.9647136262770952,True,1.941
17,14,0.5067033682255898,0.040865931659936905,3.5128495508175646,104.54254794814247,8450.3115234375,497,2601,0.9645182799647435,True,1.979
46,15,0.3689534736941384,0.034424249082803726,3.7397422253894583,101.85370183885234,8332.880859375,683,2570,0.9747348978740925,True,2.104
5,16,0.5896193524608172,0.04503583163022995,3.450635386607817,100.50961668745543,8245.138671875,591,2895,0.9720110196978436,True,2.046
19,17,0.5003680820447054,0.03698619827628136,3.3613608764314344,97.85528002011155,8164.87109375,650,2222,0.9752173085049852,True,2.291
8,18,0.5334517101258777,0.041052598506212234,3.4559052788035696,94.39999573916704,8118.41552734375,512,2091,0.9759228560933827,True,2.21
10,19,0.5300401071194747,0.041410621255636215,3.44878610450795,88.8535751810929,8124.56201171875,326,1923,0.969709894065012,True,2.471
12,20,0.5261959819533604,0.04036896303296089,3.413973768779165,87.40299347099125,8060.84130859375,352,1859,0.97184176044701,True,2.502
42,21,0.42467974422055305,0.03579697385430336,3.576213335488692,84.14875189542819,8020.69287109375,311,1977,0.9777007997830879,True,2.464
39,22,0.4362474048522914,0.038497090339660645,3.6968256411684433,81.4230665039927,8001.6787109375,546,1785,0.9834062708764898,True,2.639
20,23,0.5000157905546192,0.04181021451950073,3.579902302930922,78.20701583942426,7984.7294921875,104,1852,0.9721504452628708,True,2.875
59,24,0.2508093979114516,0.03987569361925125,3.4612653870780528,77.27191821536648,7920.337890625,83,1465,0.9697961559218302,False,2.918
18,25,0.506433293792623,0.04155582934617996,3.5595673304584214,75.78000945626864,7866.6728515625,239,1511,0.9767076281809061,True,2.721
7,26,0.5348037910068322,0.043161530047655106,3.501410127464387,73.9885845096941,7827.6728515625,141,1956,0.9672674174893463,True,2.86
45,27,0.39885334451259125,0.0344151072204113,3.6027021593505606,71.73838438715441,7827.0546875,422,1305,0.9842527550904878,True,3.174
30,28,0.4625381068383803,0.03849570453166962,3.5706586415702253,69.91893891218069,7800.41357421875,311,1649,0.982872524077617,True,3.657
38,29,0.4366230123402214,0.037484169006347656,3.5889040209268583,67.44348936403671,7795.310546875,290,1528,0.977028345690152,True,3.298
35,30,0.4530781840146377,0.037994593381881714,3.539940322120079,66.1883276632047,7754.64404296875,137,1475,0.9737272406161397,True,3.139
34,31,0.4563816045444132,0.03843740373849869,3.5556180139614293,64.49938434618787,7739.8525390625,135,1497,0.9759520000102927,True,3.27
23,32,0.48234972334918574,0.039027534425258636,3.496322393384015,64.00806626234234,7698.18505859375,149,1194,0.9785327601135787,True,3.347
31,33,0.4609390820056258,0.03728926554322243,3.4525536994309602,62.33441088084896,7686.4140625,270,1410,0.9710815408005118,True,3.509
41,34,0.42957873589814555,0.03562689200043678,3.5342667409650907,62.210482857619205,7629.4365234375,299,1150,0.9837151279523947,True,3.574
33,35,0.45831654406959843,0.038205988705158234,3.53482736677465,60.017690568687065,7636.0361328125,135,1415,0.9772733995691543,True,3.635
15,36,0.512575164639278,0.04021446779370308,3.424791651199002,59.92007059454796,7588.869140625,134,1311,0.974334613049998,True,3.785
78,37,0.14768303017970275,0.03469199314713478,3.544364724770272,59.15659258450709,7606.3994140625,1,1155,0.9675432000455922,False,3.887
29,38,0.4694359656501186,0.037551719695329666,3.444162730204678,57.27344928718696,7565.2353515625,124,1374,0.9754589141907437,True,3.802
14,39,0.521995581420049,0.041481561958789825,3.442542419603798,56.94918470631307,7521.1220703125,104,1133,0.9704893968090162,True,4.064
32,40,0.459463042270107,0.039396949112415314,3.6077883319771815,55.67395182211016,7503.73828125,135,1103,0.9802513621107652,True,4.539
16,41,0.5121822229145292,0.04191865772008896,3.5293726567935453,54.344859142929415,7506.5673828125,238,1387,0.9788326149559688,True,4.939
61,42,0.24574910940784905,0.03802641108632088,3.35242359045374,53.520152978107,7494.1630859375,77,1298,0.9733870134450004,False,4.614
37,43,0.44100352180057173,0.037031494081020355,3.5210603575179253,52.12781923752865,7484.5224609375,112,1141,0.9757255503956157,True,4.643
68,44,0.19180760562212462,0.03610387444496155,3.465721086077821,51.883636527061284,7444.57470703125,55,1111,0.9750579935784062,False,4.674
67,45,0.19254465408768617,0.03677389398217201,3.4974524118733874,50.51531430950847,7445.2333984375,35,1022,0.9753671274359403,False,4.723
73,46,0.17472089911569488,0.035621125251054764,3.494969201953064,50.11152955068356,7428.64794921875,54,1015,0.9728622917280311,False,4.635
44,47,0.4056353186705046,0.03430551290512085,3.5190817183945953,49.86338041492587,7383.9228515625,128,1060,0.978093859982736,True,5.025
63,48,0.24137358680002846,0.038341205567121506,3.4002239389150866,49.49248109319283,7364.63232421875,12,1166,0.9768889779294747,False,4.999
9,49,0.5323222590160686,0.04267410188913345,3.450743315710051,48.96697027634741,7351.2197265625,132,1182,0.9679888376418857,True,5.285
60,50,0.248194015322173,0.04007210582494736,3.463400445104088,47.763069546662436,7346.51806640625,12,953,0.9756836809619845,False,5.223
40,51,0.4331500862659522,0.03498312830924988,3.4472385849627996,47.16117125263174,7333.29248046875,115,1016,0.9793282977342803,True,5.409
58,52,0.25206418008340803,0.037788085639476776,3.3091000038136307,46.55699380215465,7312.53955078125,71,1009,0.9735495995649599,False,6.22
47,53,0.33018154743880457,0.044529903680086136,3.37058758328296,47.787455914748314,7253.173828125,1,1016,0.9682112905099324,False,5.71
